# Observation File: surface_outlet_flux.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface outlet flux
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# =============================================================================
"time [s]","surface outlet flux"
1.428000000000e+04,2.208796422493e+03
1.434000000000e+04,2.142329420132e+03
1.440000000000e+04,2.077916893067e+03
1.446000000000e+04,2.015485456894e+03
1.452000000000e+04,1.954964845260e+03
1.458000000000e+04,1.896287735383e+03
1.464000000000e+04,1.839389589343e+03
1.470000000000e+04,1.784208508873e+03
1.476000000000e+04,1.730685101802e+03
1.482000000000e+04,1.678762358621e+03
1.488000000000e+04,1.628385537910e+03
1.494000000000e+04,1.579502059574e+03
1.500000000000e+04,1.532061405023e+03
1.506000000000e+04,1.486015023549e+03
1.512000000000e+04,1.441316244283e+03
1.518000000000e+04,1.397920193203e+03
1.524000000000e+04,1.355783714745e+03
1.530000000000e+04,1.314865297624e+03
1.536000000000e+04,1.275125004525e+03
1.542000000000e+04,1.236524405385e+03
1.548000000000e+04,1.199026513993e+03
1.554000000000e+04,1.162595727684e+03
1.560000000000e+04,1.127197769926e+03
1.566000000000e+04,1.092799635631e+03
1.572000000000e+04,1.059369539001e+03
1.578000000000e+04,1.026876863781e+03
1.584000000000e+04,9.952921157787e+02
1.590000000000e+04,9.645868775262e+02
1.596000000000e+04,9.347337649747e+02
1.602000000000e+04,9.057063861098e+02
1.608000000000e+04,8.774793013980e+02
1.614000000000e+04,8.500279859688e+02
1.620000000000e+04,8.233287934534e+02
1.626000000000e+04,7.973589213916e+02
1.632000000000e+04,7.720963781459e+02
1.638000000000e+04,7.475199512388e+02
1.644000000000e+04,7.236091770614e+02
1.650000000000e+04,7.003443118804e+02
1.656000000000e+04,6.777063040876e+02
1.662000000000e+04,6.556767676462e+02
1.668000000000e+04,6.342379566617e+02
1.674000000000e+04,6.133727410509e+02
1.680000000000e+04,5.930645832406e+02
1.686000000000e+04,5.732975158701e+02
1.692000000000e+04,5.540561204378e+02
1.698000000000e+04,5.353255068689e+02
1.704000000000e+04,5.170912939498e+02
1.710000000000e+04,4.993395906098e+02
1.716000000000e+04,4.820569779989e+02
1.722000000000e+04,4.652304923452e+02
1.728000000000e+04,4.488476085546e+02
1.734000000000e+04,4.328962245193e+02
1.740000000000e+04,4.173646461204e+02
1.746000000000e+04,4.022415728902e+02
1.752000000000e+04,3.875160843125e+02
1.758000000000e+04,3.731776267442e+02
1.764000000000e+04,3.592160009352e+02
1.770000000000e+04,3.456213501249e+02
1.776000000000e+04,3.323841487090e+02
1.782000000000e+04,3.194951914561e+02
1.788000000000e+04,3.069455832638e+02
1.794000000000e+04,2.947267294571e+02
1.800000000000e+04,2.828303262339e+02
